txn_date,amount,merchant_raw,category,payment_method,instrument_last4,notes
2026-07-10 22:35:07,188.0,SWIGGY PVT LTD E COM1,Uncategorized,CC_DEBIT,1941,
2026-07-10 22:25:41,644.0,SWIGGY PVT LTD E COM1,Uncategorized,CC_DEBIT,1941,
2026-07-10 20:30:27,246.0,AMAZON,Uncategorized,CC_DEBIT,1941,
2026-07-10 10:01:23,42977.63,Booking.com Hotel,Uncategorized,CC_DEBIT,1941,
2026-07-10 09:31:31,602.0,AMAZON,Uncategorized,CC_DEBIT,1941,
2026-07-10 00:00:00,94276.0,cred.club@axisb,Uncategorized,ACCOUNT_UPI,6167,
2026-07-09 19:58:50,267.0,SWIGGY IN,Uncategorized,CC_DEBIT,1941,
2026-07-09 10:54:26,269.0,BISTRO,Uncategorized,CC_DEBIT,1941,
2026-07-09 10:19:54,399.0,BISTRO,Uncategorized,CC_DEBIT,1941,
2026-07-09 00:00:00,2.0,linkedin.bdsi@icici,Uncategorized,ACCOUNT_UPI,6167,
2026-07-08 22:45:54,3202.0,CT FLIGHT VIA SMARTBUY,Uncategorized,CC_DEBIT,1941,
2026-07-08 00:00:00,968.0,indigoairline.76509958@hdfcbank,Uncategorized,RUPAY_CC_UPI,0666,
2026-07-07 22:43:05,1364.0,SWIGGY IN,Uncategorized,CC_DEBIT,1941,
2026-07-07 14:16:01,240.0,ZEPTO MARKETPLACE PRIV,Uncategorized,CC_DEBIT,1941,
2026-07-07 09:57:38,4786.0,GOIBIBO FLIGHT VIA SMA,Uncategorized,CC_DEBIT,1941,
2026-07-06 00:00:00,92.0,smartqpg.cf@axisbank,Uncategorized,RUPAY_CC_UPI,0666,
2026-07-05 09:40:41,356.0,AMAZON,Uncategorized,CC_DEBIT,1941,
2026-07-04 21:44:45,202.0,AMAZON,Uncategorized,CC_DEBIT,1941,
2026-07-04 09:41:07,702.5,AMAZON,Uncategorized,CC_DEBIT,1941,
2026-07-03 21:32:45,99.0,Unknown,Uncategorized,CC_DEBIT,1941,
2026-07-03 21:24:10,30.0,Unknown,Uncategorized,CC_DEBIT,1941,
2026-07-03 20:15:54,462.0,SWIGGY FOOD,Uncategorized,CC_DEBIT,1941,
2026-07-03 09:24:59,909.0,AMAZON,Uncategorized,CC_DEBIT,1941,
2026-07-02 23:21:32,718.0,AMAZON,Uncategorized,CC_DEBIT,1941,
2026-07-02 00:00:00,80.0,cf.smartqpg@cashfreensdlpb,Uncategorized,RUPAY_CC_UPI,0666,
2026-07-02 00:00:00,53.0,cf.smartq99@cashfreensdlpb,Uncategorized,RUPAY_CC_UPI,0666,
2026-06-30 15:36:08,295.0,AMAZON,Uncategorized,CC_DEBIT,1941,
2026-06-30 15:32:34,258.0,ZEPTO,Uncategorized,CC_DEBIT,1941,
2026-06-30 14:10:17,240.0,ZEPTO,Uncategorized,CC_DEBIT,1941,
2026-06-30 10:19:25,150.0,AMAZON,Uncategorized,CC_DEBIT,1941,
2026-06-30 10:15:25,150.0,AMAZON,Uncategorized,CC_DEBIT,1941,
2026-06-29 18:16:33,246.0,ZEPTO MARKETPLACE PRIV,Uncategorized,CC_DEBIT,1941,
2026-06-29 09:33:35,520.0,AMAZON,Uncategorized,CC_DEBIT,1941,
